title,ingredients,state,diet,meal_time,dish_type,calories,protein,fat,carbs,sodium,nutrition_basis,slot_portion_g,calories_slot,protein_slot,fat_slot,carbs_slot,sodium_slot,calculation_method,source_url,calculation_notes,sodium_slot_mg,sodium_mg_100g,condition,diet_enc,meal_time_enc,dish_type_enc
Dosa,"Rice, parboiled, milled, Black gram, dal, Table salt (sodium from NaCl), Gingelly oil, Water",Tamil Nadu,vegetarian,breakfast,main,159.1,4.5,2.1,29.8,0.282,per 100 g finished dish,200,318.2,9,4.2,59.6,0.564,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Standard dosa batter with oil included; per 100 g finished dosa.,564,282,healthy,1,0,1
Dosa + Coconut Chutney,"Rice, parboiled, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Black gram, dal, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Chillies, green - all varieties, Curry leaves, Mustard seeds",Tamil Nadu,vegetarian,breakfast,condiment,164.5,3.9,6.4,22.3,0.293,per 100 g finished dish,200,329,7.8,12.8,44.6,0.586,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Dosa and coconut chutney combo; per 100 g finished dish.,586,293,healthy,1,0,0
Dosa + Sambar,"Rice, parboiled, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Black gram, dal, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,vegetarian,breakfast,main,113.2,3.8,1.7,20,0.276,per 100 g finished dish,200,226.4,7.6,3.4,40,0.552,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Dosa and sambar combo; per 100 g finished dish.,552,276,healthy,1,0,1
Dosa + Tomato Chutney,"Rice, parboiled, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Black gram, dal, Curry leaves, Mustard seeds, Garlic, big cloves, Chillies, red, Onion, big, Tomato, ripe, local, Tamarind, pulp",Tamil Nadu,vegetarian,breakfast,condiment,126.3,3.5,2.2,22.4,0.294,per 100 g finished dish,200,252.6,7,4.4,44.8,0.588,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Dosa and tomato chutney combo; per 100 g finished dish.,588,294,healthy,1,0,0
Ghee Dosa,"Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Ghee",Tamil Nadu,vegetarian,breakfast,main,140.7,3.8,2.5,25.1,0.297,per 100 g finished dish,200,281.4,7.6,5,50.2,0.594,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Ghee dosa standardized from dosa-style batter; per 100 g finished dish.,594,297,healthy,1,0,1
Idiyappam,"Rice, raw, milled, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,111.4,2.5,0.2,24.4,0.296,per 100 g finished dish,200,222.8,5,0.4,48.8,0.592,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,String hoppers; per 100 g finished dish.,592,296,healthy,1,0,1
Idiyappam + Vegetable Kurma,"Water, Table salt (sodium from NaCl), Rice, raw, milled, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Peas, fresh, Tomato, ripe, local, Coconut, kernel, fresh, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",Tamil Nadu,vegetarian,breakfast,main,85.9,1.9,1.4,15.9,0.25,per 100 g finished dish,200,171.8,3.8,2.8,31.8,0.5,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Idiyappam and vegetable kurma combo; per 100 g finished dish.,500,250,healthy,1,0,1
Idli,"Rice, parboiled, milled, Black gram, dal, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,146.8,4.7,0.3,30.4,0.31,per 100 g finished dish,200,293.6,9.4,0.6,60.8,0.62,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Standard fermented idli batter; per 100 g finished idli.,620,310,healthy,1,0,1
Idli + Coconut Chutney,"Rice, parboiled, milled, Black gram, dal, Water, Table salt (sodium from NaCl), Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Chillies, green - all varieties, Gingelly oil, Curry leaves, Mustard seeds",Tamil Nadu,vegetarian,breakfast,condiment,154.5,4.1,4.4,23.9,0.313,per 100 g finished dish,200,309,8.2,8.8,47.8,0.626,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Idli and coconut chutney combo; per 100 g finished dish.,626,313,healthy,1,0,0
Idli + Sambar,"Rice, parboiled, milled, Black gram, dal, Water, Table salt (sodium from NaCl), Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,vegetarian,breakfast,main,111.3,4,0.7,21.6,0.294,per 100 g finished dish,200,222.6,8,1.4,43.2,0.588,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Idli and sambar combo; per 100 g finished dish.,588,294,healthy,1,0,1
Idli + Sambar + Coconut Chutney,"Rice, parboiled, milled, Black gram, dal, Water, Table salt (sodium from NaCl), Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Chillies, green - all varieties",Tamil Nadu,vegetarian,breakfast,condiment,125,3.8,3,20.1,0.299,per 100 g finished dish,200,250,7.6,6,40.2,0.598,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,"Idli, sambar and coconut chutney combo; per 100 g finished dish.",598,299,healthy,1,0,0
Kambu Koozh,"Bajra, Milk, whole, Cow, Onion, small, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,64.1,2.2,1.6,10,0.202,per 100 g finished dish,200,128.2,4.4,3.2,20,0.404,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Pearl millet koozh; milk used as cultured-dairy proxy.,404,202,healthy,1,0,1
Kara Pongal,"Rice, raw, milled, Green gram, dal, Onion, big, Tomato, ripe, local, Ginger, fresh, Chillies, green - all varieties, Ghee, Table salt (sodium from NaCl), Curry leaves, Water",Tamil Nadu,vegetarian,breakfast,main,90.8,2.9,1.3,16.5,0.208,per 100 g finished dish,200,181.6,5.8,2.6,33,0.416,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Savory kara pongal estimate; per 100 g finished dish.,416,208,healthy,1,0,1
Onion Uthappam,"Rice, parboiled, milled, Black gram, dal, Onion, big, Table salt (sodium from NaCl), Gingelly oil, Water",Tamil Nadu,vegetarian,breakfast,main,142.4,3.9,2.4,25.6,0.293,per 100 g finished dish,200,284.8,7.8,4.8,51.2,0.586,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Uthappam batter with onion topping; per 100 g finished dish.,586,293,healthy,1,0,1
Onion Uthappam + Sambar,"Water, Gingelly oil, Table salt (sodium from NaCl), Onion, big, Black gram, dal, Rice, parboiled, milled, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,vegetarian,breakfast,main,107.3,3.5,1.9,18.4,0.283,per 100 g finished dish,200,214.6,7,3.8,36.8,0.566,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Onion uthappam and sambar combo; per 100 g finished dish.,566,283,healthy,1,0,1
Paniyaram,"Rice, raw, milled, Black gram, dal, Onion, big, Chillies, green - all varieties, Curry leaves, Table salt (sodium from NaCl), Gingelly oil, Water",Tamil Nadu,vegetarian,breakfast,main,145.3,4.1,2.2,26.5,0.302,per 100 g finished dish,200,290.6,8.2,4.4,53,0.604,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Kuzhi paniyaram style batter estimate; per 100 g finished dish.,604,302,healthy,1,0,1
Paniyaram + Tomato Chutney,"Rice, raw, milled, Black gram, dal, Onion, big, Chillies, green - all varieties, Curry leaves, Table salt (sodium from NaCl), Gingelly oil, Water, Mustard seeds, Garlic, big cloves, Chillies, red, Tomato, ripe, local, Tamarind, pulp",Tamil Nadu,vegetarian,breakfast,condiment,119.5,3.3,2.3,20.8,0.307,per 100 g finished dish,200,239,6.6,4.6,41.6,0.614,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Paniyaram and tomato chutney combo; per 100 g finished dish.,614,307,healthy,1,0,0
Pesarattu,"Green gram, dal, Rice, raw, milled, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Table salt (sodium from NaCl), Gingelly oil, Water",Tamil Nadu,vegetarian,breakfast,main,131.3,7.5,2.1,19.9,0.318,per 100 g finished dish,200,262.6,15,4.2,39.8,0.636,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Green gram dosa (pesarattu) style estimate; per 100 g finished dish.,636,318,healthy,1,0,1
Pesarattu + Coconut Chutney,"Green gram, dal, Rice, raw, milled, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Table salt (sodium from NaCl), Gingelly oil, Water, Coconut, kernel, fresh, Bengal gram, dal, Curry leaves, Mustard seeds",Tamil Nadu,vegetarian,breakfast,condiment,143.4,6.2,6,15.8,0.318,per 100 g finished dish,200,286.8,12.4,12,31.6,0.636,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Pesarattu and coconut chutney combo; per 100 g finished dish.,636,318,healthy,1,0,0
Plain Uthappam,"Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil",Tamil Nadu,vegetarian,breakfast,main,159.5,4.5,1.9,30.2,0.318,per 100 g finished dish,200,319,9,3.8,60.4,0.636,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Plain uthappam batter and pan-cook estimate; per 100 g finished dish.,636,318,healthy,1,0,1
Plain Uthappam + Sambar,"Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,vegetarian,breakfast,main,117.3,3.8,1.6,21.1,0.297,per 100 g finished dish,200,234.6,7.6,3.2,42.2,0.594,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Plain uthappam and sambar combo; per 100 g finished dish.,594,297,healthy,1,0,1
Puttu,"Rice, raw, milled, Coconut, kernel, fresh, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,153.6,2.8,5.1,23.7,0.264,per 100 g finished dish,200,307.2,5.6,10.2,47.4,0.528,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Steamed rice-coconut puttu; per 100 g finished dish.,528,264,healthy,1,0,1
Puttu + Vegetable Kurma,"Water, Table salt (sodium from NaCl), Coconut, kernel, fresh, Rice, raw, milled, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Peas, fresh, Tomato, ripe, local, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",Tamil Nadu,vegetarian,breakfast,main,110.5,2.1,4.3,15.5,0.231,per 100 g finished dish,200,221,4.2,8.6,31,0.462,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Puttu and vegetable kurma combo; per 100 g finished dish.,462,231,healthy,1,0,1
Ragi Dosa,"Ragi, Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil",Tamil Nadu,vegetarian,breakfast,main,139.8,3.6,2,26.1,0.284,per 100 g finished dish,200,279.6,7.2,4,52.2,0.568,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Ragi dosa standardized batter; per 100 g finished dish.,568,284,healthy,1,0,1
Ragi Dosa + Tomato Chutney,"Ragi, Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Gingelly oil, Curry leaves, Mustard seeds, Garlic, big cloves, Chillies, red, Onion, big, Tomato, ripe, local, Tamarind, pulp",Tamil Nadu,vegetarian,breakfast,condiment,112.6,2.9,2.1,19.8,0.295,per 100 g finished dish,200,225.2,5.8,4.2,39.6,0.59,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Ragi dosa and tomato chutney combo; per 100 g finished dish.,590,295,healthy,1,0,0
Ragi Kali,"Ragi, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,82.5,1.8,0.5,17.2,0.226,per 100 g finished dish,200,165,3.6,1,34.4,0.452,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Ragi kali; per 100 g finished dish.,452,226,healthy,1,0,1
Rava Kichadi,"Wheat, semolina, Onion, big, Tomato, ripe, local, Carrot, orange, French beans, country, Chillies, green - all varieties, Ginger, fresh, Mustard seeds, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,82.6,2.4,2.2,12.8,0.321,per 100 g finished dish,200,165.2,4.8,4.4,25.6,0.642,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vegetable rava kichadi; per 100 g finished dish.,642,321,healthy,1,0,1
Tomato Chutney,"Tomato, ripe, local, Onion, big, Garlic, big cloves, Chillies, red, Gingelly oil, Mustard seeds, Curry leaves, Table salt (sodium from NaCl), Tamarind, pulp, Water",Tamil Nadu,vegetarian,breakfast,condiment,47.4,1.1,2.5,4.8,0.323,per 100 g finished dish,200,94.8,2.2,5,9.6,0.646,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tomato-onion chutney; per 100 g finished dish.,646,323,healthy,1,0,0
Tomato Uthappam,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil",Tamil Nadu,vegetarian,breakfast,main,137.8,3.9,1.6,26.1,0.265,per 100 g finished dish,200,275.6,7.8,3.2,52.2,0.53,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tomato uthappam with onion topping; per 100 g finished dish.,530,265,healthy,1,0,1
Tomato Uthappam + Coconut Chutney,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Curry leaves, Mustard seeds",Tamil Nadu,vegetarian,breakfast,condiment,148.2,3.5,5.6,20.4,0.279,per 100 g finished dish,200,296.4,7,11.2,40.8,0.558,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tomato uthappam and coconut chutney combo; per 100 g finished dish.,558,279,healthy,1,0,0
Upma,"Wheat, semolina, Onion, big, Chillies, green - all varieties, Ginger, fresh, Mustard seeds, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,94,2.6,2.5,14.8,0.325,per 100 g finished dish,200,188,5.2,5,29.6,0.65,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Semolina upma; per 100 g finished dish.,650,325,healthy,1,0,1
Vegetable Semiya Kichadi,"Wheat, vermicelli, Onion, big, Carrot, orange, French beans, country, Peas, fresh, Chillies, green - all varieties, Ginger, fresh, Groundnut oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,74.9,2.2,1.2,13.3,0.219,per 100 g finished dish,200,149.8,4.4,2.4,26.6,0.438,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vegetable semiya kichadi; per 100 g finished dish.,438,219,healthy,1,0,1
Vegetable Uthappam,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Carrot, orange, Capsicum, green, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water, Gingelly oil",Tamil Nadu,vegetarian,breakfast,main,130.9,3.8,1.6,24.6,0.26,per 100 g finished dish,200,261.8,7.6,3.2,49.2,0.52,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mixed vegetable uthappam; per 100 g finished dish.,520,260,healthy,1,0,1
Vegetable Uthappam + Sambar,"Rice, raw, milled, Black gram, dal, Onion, big, Tomato, ripe, local, Carrot, orange, Capsicum, green, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Drumstick, Red gram, dal, Mustard seeds, Curry leaves",Tamil Nadu,vegetarian,breakfast,main,100.6,3.4,1.5,17.8,0.263,per 100 g finished dish,200,201.2,6.8,3,35.6,0.526,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vegetable uthappam and sambar combo; per 100 g finished dish.,526,263,healthy,1,0,1
Ven Pongal,"Rice, raw, milled, Green gram, dal, Ghee, Ginger, fresh, Cumin seeds, Pepper, black, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,108.8,3.4,2.1,18.6,0.277,per 100 g finished dish,200,217.6,6.8,4.2,37.2,0.554,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice-moong pongal; per 100 g finished dish.,554,277,healthy,1,0,1
Ven Pongal + Coconut Chutney,"Cumin seeds, Ghee, Ginger, fresh, Pepper, black, Water, Green gram, dal, Table salt (sodium from NaCl), Rice, raw, milled, Coconut, kernel, fresh, Bengal gram, dal, Chillies, green - all varieties, Gingelly oil, Curry leaves, Mustard seeds",Tamil Nadu,vegetarian,breakfast,condiment,126,3.2,5.7,15.1,0.288,per 100 g finished dish,200,252,6.4,11.4,30.2,0.576,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Ven pongal and coconut chutney combo; per 100 g finished dish.,576,288,healthy,1,0,0
Ven Pongal + Sambar,"Cumin seeds, Ghee, Ginger, fresh, Pepper, black, Water, Green gram, dal, Table salt (sodium from NaCl), Rice, raw, milled, Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,vegetarian,breakfast,main,88.5,3.2,1.8,14.5,0.274,per 100 g finished dish,200,177,6.4,3.6,29,0.548,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Ven pongal and sambar combo; per 100 g finished dish.,548,274,healthy,1,0,1
Vermicelli Upma,"Wheat, vermicelli, Onion, big, Carrot, orange, French beans, country, Chillies, green - all varieties, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,breakfast,main,78.8,2.1,1.4,13.9,0.201,per 100 g finished dish,200,157.6,4.2,2.8,27.8,0.402,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vermicelli upma; per 100 g finished dish.,402,201,healthy,1,0,1
Omelette,"Egg, poultry, whole, raw, Onion, big, Chillies, green - all varieties, Coriander leaves, Gingelly oil, Table salt (sodium from NaCl)",Tamil Nadu,non_vegetarian,breakfast/dinner,main,141.2,10.6,10.3,1.6,0.341,per 100 g finished dish,250,353,26.5,25.8,4,0.852,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Onion omelette; per 100 g finished dish.,852,341,hypertension,0,1,1
Anchovy Fry,"Anchovy, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Chillies, red, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Curry leaves, Water",Tamil Nadu,non_vegetarian,dinner,main,95.1,11.5,4.3,2.4,0.477,per 100 g finished dish,300,285.3,34.5,12.9,7.2,1.431,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Nethili fry; per 100 g finished dish.,1431,477,hypertension,0,2,1
Fish Fry,"Vanjaram, Ginger, fresh, Garlic, big cloves, Chillies, red, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Lemon, juice",Tamil Nadu,non_vegetarian,dinner,main,165.7,18.9,9.2,1.3,0.496,per 100 g finished dish,300,497.1,56.7,27.6,3.9,1.488,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vanjaram fish fry; per 100 g finished dish.,1488,496,hypertension,0,2,1
Mutton Chukka,"Goat, shoulder, meat, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Pepper, black, Coriander seeds, Cumin seeds, Gingelly oil, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,dinner,main,116.1,9.1,7.6,2.7,0.394,per 100 g finished dish,300,348.3,27.3,22.8,8.1,1.182,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Goat-meat chukka; per 100 g finished dish.,1182,394,hypertension,0,2,1
